CharacteristicName,ResultMeasureValue,ResultMeasure/MeasureUnitCode,ActivityStartDate,MonitoringLocationIdentifier,OrganizationFormalName,ResultStatusIdentifier
Copper,0.00079,mg/L,2018-05-17,MNPCA-S009-159,Minnesota Pollution Control Agency - Ambient Surface Water,Final
Copper,0.007,mg/L,2018-06-19,MDEQ_WQ_WQX-Y03YELSR03,Montana DEQ WQPB,Final
Copper,0.01,mg/L,2018-05-15,21SC60WQ_WQX-MD-277,South Carolina Department of Environmental Services,Final
Copper,0.01,mg/L,2018-11-08,21SC60WQ_WQX-S-004,South Carolina Department of Environmental Services,Final
Copper,4.0,mg/L,2018-06-11,CMCNRMI_WQX-LFPE-05,Colorado Mountain College Natural Resource Management,Final
Copper,0.002,mg/L,2018-05-08,MT305B_SECONDARYDATA-LC-4,Montana 303d/305b Call for Secondary Data,Final
Copper,0.0006,mg/L,2018-08-29,USACOEND-BAR20002,"U.S. Army Corps of Engineers, Nashville District",Final
Copper,0.01,mg/L,2018-09-11,21SC60WQ_WQX-S-311,South Carolina Department of Environmental Services,Final
Copper,0.0016,mg/L,2018-08-14,CEDEN-ES_HDG_102,California State Water Resources Control Board,Final
Copper,0.0035,mg/L,2018-09-25,SANDIAWQ_WQX-SL#3,Pueblo of Sandia Water Quality Program (New Mexico),Final
Copper,0.000744,mg/L,2018-03-14,KNRD_WQX-PORB,Kalispel Indian Community of the Kalispel Reservation (Tribal),Final
Copper,0.0089,mg/L,2018-10-24,AZDEQ_SW-69,AZDEQ_SW,Final
Copper,0.01,mg/L,2018-12-11,21SC60WQ_WQX-S-308,South Carolina Department of Environmental Services,Final
Copper,0.01,mg/L,2018-03-06,21SC60WQ_WQX-S-096,South Carolina Department of Environmental Services,Final
Copper,0.01,mg/L,2018-05-24,21SC60WQ_WQX-MD-130,South Carolina Department of Environmental Services,Final
Copper,0.0006,mg/L,2018-08-14,MDEQ_WQ_WQX-Y03YELSR03,Montana DEQ WQPB,Final
Copper,0.01,mg/L,2018-05-09,MDEQ_REM_WQX-FC-CFR,Montana DEQ Remediation,Final
Copper,0.01,mg/L,2018-11-13,21SC60WQ_WQX-RO-18423,South Carolina Department of Environmental Services,Final
Copper,0.01,mg/L,2018-06-05,21SC60WQ_WQX-RS-18419,South Carolina Department of Environmental Services,Final
Copper,0.0006,mg/L,2018-08-13,MDEQ_WQ_WQX-Y12YELSR90,Montana DEQ WQPB,Final
Copper,1.0,mg/L,2018-06-05,CMCNRMI_WQX-LFP-05,Colorado Mountain College Natural Resource Management,Final
Copper,0.0,mg/L,2018-07-10,LOWERARKVALLEYWATERCONSDIST-Reed North,Lower Arkansas Valley Water Conservation District,Final
Copper,0.0008,mg/L,2018-10-02,MDEQ_WQ_WQX-M10SMTHR95,Montana DEQ WQPB,Final
Copper,0.01,mg/L,2018-07-24,21SC60WQ_WQX-B-048,South Carolina Department of Environmental Services,Final
Copper,0.01,mg/L,2018-08-09,21SC60WQ_WQX-RS-18422,South Carolina Department of Environmental Services,Final
Copper,0.023,mg/L,2018-03-01,CEDEN-GSPPA - D,California State Water Resources Control Board,Final
Copper,0.25,mg/L,2018-10-03,CMCNRMI_WQX-LFP-05,Colorado Mountain College Natural Resource Management,Final
Copper,0.01,mg/L,2018-12-11,21SC60WQ_WQX-RS-18406,South Carolina Department of Environmental Services,Final
Copper,0.00099,mg/L,2018-11-08,AZDEQ_SW-2438,AZDEQ_SW,Final
Copper,0.0179,mg/L,2018-04-27,CBS-T-10,CBS Operations Inc.,Accepted
Copper,0.048,mg/L,2018-09-19,AZDEQ_SW-2426,AZDEQ_SW,Final
Copper,0.0,mg/L,2018-10-29,LOWERARKVALLEYWATERCONSDIST-McClave 2,Lower Arkansas Valley Water Conservation District,Final
Copper,0.001,mg/L,2018-08-09,MDEQ_WQ_WQX-Y06YELSR20,Montana DEQ WQPB,Final
Copper,3.91,mg/L,2018-09-06,CMCNRMI_WQX-LFP-01,Colorado Mountain College Natural Resource Management,Final
Copper,0.01,mg/L,2018-06-28,21SC60WQ_WQX-B-062,South Carolina Department of Environmental Services,Final
Copper,0.016,mg/L,2018-08-22,AZDEQ_SW-2440,AZDEQ_SW,Final
Copper,0.0,mg/L,2018-08-09,LOWERARKVALLEYWATERCONSDIST-McClave 6,Lower Arkansas Valley Water Conservation District,Final
Copper,0.00076,mg/L,2018-09-26,AZDEQ_SW-2426,AZDEQ_SW,Final
